floor2:D307(2),D308(2),D309(2),D310(2),D311(2),D312(2),D313(2),D314(2),D315(2),D316(2),D317(2),D318(2),D319(2),D320(2),D321(2),D322(2),D323(2),D324(2),D325(2),D326(2),D330(2),D331(2),D333(2)
floor3:D407(3),D408(2),D409(3),D410(3),D411(2),D413(2),D414(2),D415(2),D416(2),D417(2),D418(2),D419(1),D420(2),D430(2),D431(2),D432(2),D433(2),D434(2),D436(1),D437(2),D438(2),D440(2),D441(2)
floor4:D504(1),D505(1),D509(1),D510(1),D511(2),D512(1),D513(1),D515(1),D516(1),D517(1),D519(1),D521(2),D525(1),D526(2),D527(2),D528(2),D529(2),D530(2),D531(2),D532(4),D533(2),D534(2),D535(2)
